timestamp,latitude,longitude,accident,harm,index_right,u,v,key,osmid,highway,length,speed_kph,travel_time,dist_to_edge
2022-01-04 13:07:00,43.052758017,-89.37871396,1,1,14438,452816427,3937040986,0,"[1382881280, 38238994, 38238995, 434828965]",primary,599.7678591004194,56.3269,38.332737870564685,7.714520818974797e-05
2022-01-04 16:53:00,43.037479328,-89.40464422,1,1,18482,2646614627,2646614622,0,708139702,secondary,96.65441589055045,48.2802,7.2070102693439875,6.310745954764354e-05
2022-01-02 16:08:00,43.013427961,-89.49821775,1,0,2726,53436794,53460042,0,494899453,tertiary,208.42518704302643,40.2335,18.649400955792938,0.0006655094356558044
2022-01-01 21:07:00,43.147727436,-89.28995797,1,0,19235,3002833804,1218588829,0,468906615,tertiary,13.229429792605938,44.58354698042482,1.068240426772064,1.1730302552406938e-05
2022-01-04 10:53:00,43.03461194,-89.40015206,1,1,123,53279312,53279303,0,1171230732,motorway,177.38473688916125,88.5137,7.214533488047393,4.481839322711718e-06
2022-01-04 00:15:00,43.040776038,-89.46362853,1,0,3751,53453200,53453215,0,6650120,residential,204.62684424584873,35.78807267343486,20.583858929957646,2.4204119970474924e-05
2022-01-04 00:15:00,43.040776038,-89.46362853,1,0,3755,53453215,53453200,0,6650120,residential,204.62684424584873,35.78807267343486,20.583858929957646,2.4204119970474924e-05
2022-01-03 15:27:00,43.053713163,-89.5014824,1,0,103,53278937,3324062453,0,"[1167080378, 6596663]",motorway_link,275.7658785683173,88.5137,11.215858820114201,2.015771622294285e-05
2022-01-05 07:48:00,43.060749519,-89.45769826,1,0,15509,1178722440,53462244,0,338428443,tertiary,185.05357727127677,40.2335,16.55816367396812,4.718653629362329e-05
2022-01-02 21:20:00,43.047307939,-89.29072478,1,0,242,53290356,3402060753,0,"[1447106937, 1383837706, 333095451, 1383923297]",motorway,1059.4415370869767,88.5137,43.08925661805027,2.9035278851506582e-08
2022-01-05 11:47:00,43.046044809,-89.47355705,1,1,14375,452151232,2799423625,0,700703046,tertiary,27.135046076778178,48.2802,2.023317340781551,1.871259145570838e-05
2022-01-04 17:13:00,43.060870839,-89.47207727,1,1,18269,2633816200,452151716,0,700703025,secondary,16.95046493410394,51.91636569037656,1.175384157795264,5.375837233027104e-05
2022-01-06 08:35:00,43.045212448,-89.30611711,1,0,374,53305342,53290370,0,"[1382852928, 1382852929]",primary,162.30632809225872,72.4203,8.068218180981457,4.2557885393905205e-05
2022-01-01 08:17:00,43.142403129,-89.30248307,1,0,1479,53414399,53414409,0,6630449,tertiary,257.89323557568656,44.58354698042482,20.824176427239145,2.7936623874780658e-05
2022-01-01 08:17:00,43.142403129,-89.30248307,1,0,1483,53414409,53414399,0,6630449,tertiary,257.8932355756865,44.58354698042482,20.82417642723914,2.7936623874780658e-05
2022-01-06 01:30:00,43.080669506,-89.37978152,1,0,22170,8729846828,53667521,0,6766288,residential,202.2767088469149,32.1868,22.624061784610266,3.4049015276754977e-06
2022-01-06 01:30:00,43.080669506,-89.37978152,1,0,12456,53667521,8729846828,0,6766288,residential,202.27670884691486,32.1868,22.624061784610262,3.4049015276754977e-06
2022-01-04 19:59:00,43.041428042,-89.37775301,1,0,19442,3233235439,3233235440,0,700431613,secondary,39.724334137302975,56.3269,2.5388864449186928,2.2309072620551834e-05
2022-01-05 01:44:00,43.032801668,-89.3607999,1,1,712,53369190,53444254,0,572432177,tertiary,653.5150844401176,56.3269,41.767864093078494,1.9102464905537192e-06
2022-01-05 20:45:00,43.07486635,-89.52698217,1,0,14070,443144278,443144276,0,700703021,tertiary,13.25722049966481,44.58354698042482,1.0704844506819575,4.946349887494246e-05
2022-01-06 09:20:00,43.103279979,-89.34914107,1,0,4524,53467210,53620460,0,700376859,tertiary,221.93474084394603,40.2335,19.858204407725047,5.987296665566897e-06
2022-01-04 06:21:00,43.077005044,-89.42914891,1,0,5699,53484597,3945880924,0,"[1371166107, 323912691, 985012916, 391367359]",tertiary,347.19619728865644,40.2335,31.066308181966846,9.09851793671165e-05
2022-01-06 10:23:00,43.012446765,-89.48063976,1,0,21227,5425825498,2842214600,0,"[633905667, 1260438935]",secondary,572.0789893825261,64.3736,31.992685849122843,0.003362472565063852
2022-01-05 17:26:00,43.199283232,-89.20298487,1,1,14228,447565040,447532375,0,"[549644938, 1460520543]",tertiary,438.81001015984486,44.58354698042482,35.432713266825616,0.0769370308174044
2022-01-05 17:26:00,43.199283232,-89.20298487,1,1,14224,447541864,447532375,0,886862721,residential,15.538976814282723,35.78807267343486,1.563099444942777,0.0769370308174044
2022-01-05 17:26:00,43.199283232,-89.20298487,1,1,14223,447532375,447541864,0,886862721,residential,15.538976814282723,35.78807267343486,1.563099444942777,0.0769370308174044
2022-01-06 16:50:00,43.175753221,-89.2199289,1,1,14228,447565040,447532375,0,"[549644938, 1460520543]",tertiary,438.81001015984486,44.58354698042482,35.432713266825616,0.053390622500457376
2022-01-06 16:50:00,43.175753221,-89.2199289,1,1,14224,447541864,447532375,0,886862721,residential,15.538976814282723,35.78807267343486,1.563099444942777,0.053390622500457376
2022-01-06 16:50:00,43.175753221,-89.2199289,1,1,14223,447532375,447541864,0,886862721,residential,15.538976814282723,35.78807267343486,1.563099444942777,0.053390622500457376
2022-01-02 19:25:00,43.181640863,-89.46430925,1,1,19694,3398755417,472624264,0,39464750,primary,569.5584059538279,88.5137,23.1648915527628,0.0632311210872832
2022-01-02 19:25:00,43.181640863,-89.46430925,1,1,14741,472624264,53441701,0,6644042,tertiary,106.6207367400523,44.58354698042482,8.609334121233502,0.0632311210872832
2022-01-02 19:25:00,43.181640863,-89.46430925,1,1,3200,53441701,472624264,0,6644042,tertiary,106.62073674005228,44.58354698042482,8.6093341212335,0.0632311210872832
2022-01-05 12:40:00,43.075332655,-89.44881168,1,0,14745,482804867,53458753,0,6653475,residential,17.35778251425991,35.78807267343486,1.7460570626850194,2.26078211421452e-05
2022-01-05 12:40:00,43.075332655,-89.44881168,1,0,4028,53458753,482804867,0,6653475,residential,17.35778251425991,35.78807267343486,1.7460570626850194,2.26078211421452e-05
2022-01-03 15:10:00,43.073431693,-89.43348205,1,1,13908,340003522,482804884,0,220136014,primary,82.44472187341938,57.384015490196084,5.1721894365342465,8.95463349927825e-05
2022-01-01 17:11:00,43.105621023,-89.31635459,1,0,843,53387513,4540696927,0,"[458020496, 78088825, 458020495]",primary,307.649946497595,72.4203,15.29322313483018,5.997379424697206e-06
2022-01-04 11:48:00,43.047826964,-89.32313411,1,0,20765,4137537640,53546020,0,6696450,residential,237.59685272667494,35.78807267343486,23.900383728988757,0.00792126891939614
2022-01-04 11:48:00,43.047826964,-89.32313411,1,0,8142,53546020,4137537640,0,6696450,residential,237.59685272667494,35.78807267343486,23.900383728988757,0.00792126891939614
2022-01-03 12:34:00,43.140560921,-89.51712799,1,0,145,53279814,53279803,0,"[37825792, 38310355, 37825791]",motorway,751.8685944254653,88.5137,30.57975138234731,0.04837285107681998
2022-01-01 18:09:00,42.986338658,-89.5624571,1,0,21988,7805312574,53412942,0,"[939121498, 1377353324]",secondary,297.53448788163234,64.3736,16.63918370844378,0.030717791615646202
2022-01-01 18:09:00,42.986338658,-89.5624571,1,0,22159,8699774623,53412942,0,"[394363353, 1377353323, 280622542]",tertiary,1415.1818257231248,56.3269,90.44798440182664,0.030717791615646202
2022-01-01 18:09:00,42.986338658,-89.5624571,1,0,1345,53412942,8699774623,0,"[394363353, 1377353323, 280622542]",tertiary,1415.1818257231255,56.3269,90.44798440182669,0.030717791615646202
2022-01-05 16:07:00,42.990225385,-89.53346696,1,2,20512,3973770957,53631230,0,394363288,tertiary,929.6651242058414,72.4203,46.213484991653296,0.015073264402004514
2022-01-05 16:07:00,42.990225385,-89.53346696,1,2,11739,53631230,3973770957,0,394363288,tertiary,929.6651242058414,72.4203,46.213484991653296,0.015073264402004514
2022-01-06 15:27:00,42.984368089,-89.55460003,1,0,21988,7805312574,53412942,0,"[939121498, 1377353324]",secondary,297.53448788163234,64.3736,16.63918370844378,0.031256211297892494
2022-01-06 15:27:00,42.984368089,-89.55460003,1,0,22159,8699774623,53412942,0,"[394363353, 1377353323, 280622542]",tertiary,1415.1818257231248,56.3269,90.44798440182664,0.031256211297892494
2022-01-06 15:27:00,42.984368089,-89.55460003,1,0,1345,53412942,8699774623,0,"[394363353, 1377353323, 280622542]",tertiary,1415.1818257231255,56.3269,90.44798440182669,0.031256211297892494
2022-01-06 19:59:00,43.183682463,-89.21356221,1,0,14228,447565040,447532375,0,"[549644938, 1460520543]",tertiary,438.81001015984486,44.58354698042482,35.432713266825616,0.06143107089043374
2022-01-06 19:59:00,43.183682463,-89.21356221,1,0,14224,447541864,447532375,0,886862721,residential,15.538976814282723,35.78807267343486,1.563099444942777,0.06143107089043374
2022-01-06 19:59:00,43.183682463,-89.21356221,1,0,14223,447532375,447541864,0,886862721,residential,15.538976814282723,35.78807267343486,1.563099444942777,0.06143107089043374
2022-01-07 19:00:00,43.185459202,-89.21311347,1,2,14228,447565040,447532375,0,"[549644938, 1460520543]",tertiary,438.81001015984486,44.58354698042482,35.432713266825616,0.062385699550752356
2022-01-07 19:00:00,43.185459202,-89.21311347,1,2,14224,447541864,447532375,0,886862721,residential,15.538976814282723,35.78807267343486,1.563099444942777,0.062385699550752356
2022-01-07 19:00:00,43.185459202,-89.21311347,1,2,14223,447532375,447541864,0,886862721,residential,15.538976814282723,35.78807267343486,1.563099444942777,0.062385699550752356
2022-01-06 10:50:00,42.993167559,-89.52688136,1,0,20512,3973770957,53631230,0,394363288,tertiary,929.6651242058414,72.4203,46.213484991653296,0.009012936353482558
