edge_id,hour,risk,accidents,y,best_travel_time_s
53474572_8805298729_0,2022-12-31 23:00:00,0.0529243890904305,0,0,289.86468413182075
53467945_53639147_0,2022-12-31 23:00:00,0.0529243890904305,0,0,161.699590631026
53474580_53474572_0,2022-12-31 23:00:00,0.0529243890904305,0,0,272.7051441409346
53474580_53625160_0,2022-12-31 23:00:00,0.0529243890904305,0,0,272.7051441409346
53467649_53421675_0,2022-12-31 23:00:00,0.0529243890904305,0,0,329.3813595490547
53469881_53594021_0,2022-12-31 23:00:00,0.0529243890904305,0,0,343.7044757310302
53473517_53598013_0,2022-12-31 23:00:00,0.0529243890904305,0,0,205.0796214349793
53471653_53595147_0,2022-12-31 23:00:00,0.0529243890904305,0,0,352.9948964824916
53473513_53507817_0,2022-12-31 23:00:00,0.0529243890904305,0,0,202.31746352455784
53471653_53599420_0,2022-12-31 23:00:00,0.0529243890904305,0,0,352.9948964824916
53472419_3303419600_0,2022-12-31 23:00:00,0.0529243890904305,0,0,184.63077103920352
53471418_496906382_0,2022-12-31 23:00:00,0.0529243890904305,0,0,296.27495635355376
53472460_53472467_0,2022-12-31 23:00:00,0.0529243890904305,0,0,75.29110257417439
53471296_53308301_0,2022-12-31 23:00:00,0.0529243890904305,0,0,199.14038602633696
53472460_53720172_0,2022-12-31 23:00:00,0.0529243890904305,0,0,75.29110257417439
53472467_53472474_0,2022-12-31 23:00:00,0.0529243890904305,0,0,57.61463483086378
53472474_1181378741_0,2022-12-31 23:00:00,0.0529243890904305,0,0,38.32730481503991
53472474_3271744858_0,2022-12-31 23:00:00,0.0529243890904305,0,0,38.32730481503991
53474722_53472256_0,2022-12-31 23:00:00,0.0529243890904305,0,0,61.700589438430356
53473222_53473234_0,2022-12-31 23:00:00,0.0529243890904305,0,0,132.9259680519387
53473264_53556383_0,2022-12-31 23:00:00,0.0529243890904305,0,0,154.87635062358729
53473273_53473264_0,2022-12-31 23:00:00,0.0529243890904305,0,0,167.14263442421156
53470170_53434862_0,2022-12-31 23:00:00,0.0529243890904305,0,0,71.57449662601506
53473273_53534017_0,2022-12-31 23:00:00,0.0529243890904305,0,0,167.14263442421156
53472606_53552658_0,2022-12-31 23:00:00,0.0529243890904305,0,0,421.0821025672386
53475360_53475365_0,2022-12-31 23:00:00,0.0529243890904305,0,0,57.55421441730579
53475102_53430857_0,2022-12-31 23:00:00,0.0529243890904305,0,0,357.76828304333543
53475105_53416929_0,2022-12-31 23:00:00,0.0529243890904305,0,0,358.62134508386293
53479821_2714977035_0,2022-12-31 23:00:00,0.0529243890904305,0,0,85.4124704555351
53479821_5468393309_0,2022-12-31 23:00:00,0.0529243890904305,0,0,85.4124704555351
53480061_53526080_0,2022-12-31 23:00:00,0.0529243890904305,0,0,397.2133619375675
53481168_53672610_0,2022-12-31 23:00:00,0.0529243890904305,0,0,405.92194849015425
53481638_1180187478_0,2022-12-31 23:00:00,0.0529243890904305,0,0,108.29340331587774
53481665_1180187697_0,2022-12-31 23:00:00,0.0529243890904305,0,0,80.24928641255671
53482146_53482150_0,2022-12-31 23:00:00,0.0529243890904305,0,0,384.48765493506266
53482146_53581193_0,2022-12-31 23:00:00,0.0529243890904305,0,0,384.48765493506266
