y,x,highway,ref,street_count,junction,railway
43.1135055,-89.3549054,,,3,,
43.113742,-89.355011,,,4,,
43.068501,-89.526212,,,3,,
43.07011,-89.526204,,,3,,
43.1065018,-89.327223,,,3,,
43.0754664,-89.3830758,traffic_signals,,3,,
43.0346141,-89.4187229,,,3,,
43.0858722,-89.2710696,,,3,,
43.0868927,-89.269787,,,3,,
43.0867731,-89.2711105,,,3,,
43.0944199,-89.3151655,,,3,,
43.098381,-89.3167164,,,4,,
43.1024621,-89.3170005,,,3,,
43.1048152,-89.316689,motorway_junction,,3,,
43.088773,-89.312825,,,3,,
43.0437165,-89.36056,motorway_junction,264,3,,
43.0437965,-89.3489661,,,3,,
43.075532,-89.51049,,,1,,
43.117895,-89.320172,,,3,,
43.1210646,-89.3072993,traffic_signals,,4,,
43.0740719,-89.4542676,,,3,,
43.0738963,-89.3831165,traffic_signals,,3,,
43.0739327,-89.3852614,traffic_signals,,3,,
43.145978,-89.305436,,,3,,
43.049096,-89.522007,,,3,,
43.04922,-89.521853,,,3,,
43.0487026,-89.5096061,,,3,,
43.048715,-89.510327,,,1,,
43.073555,-89.503915,,,3,,
43.073347,-89.503748,,,3,,
43.0876699,-89.3044665,,,3,,
43.0460557,-89.2691353,motorway_junction,267B,3,,
43.031693,-89.367661,,,3,,
43.03169,-89.366956,,,1,,
43.136939,-89.303377,,,3,,
43.136936,-89.30284,,,3,,
43.1581908,-89.2709512,motorway_junction,100,3,,
43.0809252,-89.3176889,,,3,,
43.026945,-89.383204,,,3,,
43.0992415,-89.2836444,motorway_junction,138A,3,,
43.1021406,-89.2787952,,,3,,
43.1343296,-89.2994585,motorway_junction,97A,3,,
43.113854,-89.326926,,,3,,
43.113217,-89.327916,,,1,,
43.067079,-89.510726,,,3,,
43.067694,-89.5108,,,1,,
43.133585,-89.364754,,,3,,
43.041338,-89.3770297,,,3,,
43.0412077,-89.3780219,,,4,,
43.1490173,-89.2846286,motorway_junction,,3,,
43.0742673,-89.4520286,,,3,,
43.0438126,-89.4741769,,,1,,
43.0434215,-89.4737515,,,3,,
43.065138,-89.510095,,,3,,
43.065242,-89.509891,,,1,,
43.048205,-89.509618,,,3,,
43.048215,-89.510306,,,1,,
43.04821,-89.521945,,,3,,
43.048336,-89.522101,,,3,,
43.0600112,-89.507766,,,3,,
43.0598751,-89.5074788,,,3,,
43.058687,-89.503802,,,2,,
43.0634,-89.508682,,,1,,
43.0639083,-89.5086433,,,3,,
43.0633766,-89.5096317,,,1,,
43.06391,-89.509634,,,3,,
43.0633327,-89.51155,,,1,,
43.0640084,-89.5115105,,,3,,
43.1017648,-89.2892941,motorway_junction,3A,3,,
43.095798,-89.285926,,,3,,
43.13742,-89.304465,,,3,,
43.136749,-89.304589,,,3,,
43.076166,-89.538021,,,3,,
43.04717,-89.506822,,,3,,
43.04709,-89.506362,,,1,,
43.0797106,-89.4731237,turning_circle,,1,,
43.079203,-89.47261,,,3,,
43.084838,-89.55249,turning_circle,,1,,
43.1309936,-89.3017629,traffic_signals,,4,,
43.131982,-89.300233,,,3,,
43.082639,-89.441174,,,1,,
43.070494,-89.525211,,,1,,
43.1069677,-89.3319762,,,3,,
43.1067374,-89.3353965,,,3,,
43.1084004,-89.3381879,,,3,,
43.047836,-89.50701,,,3,,
43.048069,-89.506563,,,1,,
43.0476936,-89.5096284,,,3,,
43.047714,-89.510333,,,1,,
43.0633418,-89.5105831,,,1,,
43.0638954,-89.5105913,,,3,,
43.073883,-89.519906,,,3,,
43.046494,-89.4749667,,,4,,
43.0467664,-89.4752252,,,3,,
43.0456533,-89.2767711,,,3,,
43.033382,-89.366071,,,3,,
43.035491,-89.418544,,,3,,
43.047022,-89.510404,,,1,,
43.0470024,-89.5109041,,,4,,
43.047007,-89.511337,,,1,,
43.046918,-89.507011,,,3,,
43.047057,-89.507271,,,1,,
43.0750226,-89.4189431,,,3,,
43.07437,-89.418948,,,1,,
43.018996,-89.495595,,,3,,
43.0474354,-89.3079532,,,3,,
43.046364,-89.307892,,,3,,
43.04531,-89.314455,,,3,,
43.016712,-89.486797,,,3,,
43.084224,-89.558528,turning_circle,,1,,
43.1210016,-89.3172537,,,3,,
43.137942,-89.40264,,,3,,
43.0321061,-89.5014574,,,3,,
43.0321061,-89.5012123,,,1,,
43.032719,-89.415,,,3,,
43.1313224,-89.299646,,,4,,
43.142063,-89.306359,,,1,,
43.142052,-89.305661,,,3,,
43.1338773,-89.3709707,traffic_signals,,4,,
43.064589,-89.50921,,,3,,
43.064802,-89.509046,,,1,,
43.064732,-89.509577,,,3,,
43.064531,-89.509744,,,1,,
43.064369,-89.510724,,,3,,
43.06432,-89.509774,,,1,,
43.0727539,-89.4215692,,,3,,
43.076523,-89.513536,,,1,,
43.076476,-89.513343,,,3,,
43.07645,-89.512538,,,3,,
43.077025,-89.51205,,,1,,
43.076456,-89.509494,,,3,,
43.076274,-89.509644,,,3,,
43.0150581,-89.4878069,,,3,,
43.042668,-89.30282,,,3,,
43.030891,-89.417881,,,3,,
43.0547282,-89.4849552,,,3,,
43.055015,-89.491421,traffic_signals,,3,,
43.0539654,-89.5521207,,,3,,
43.053997,-89.556348,,,1,,
43.0538126,-89.5107444,,,1,,
43.135656,-89.353132,,,3,,
43.13566,-89.3532154,,,3,,
43.106249,-89.306841,motorway_junction,2,3,,
43.046762,-89.50921,,,3,,
43.047029,-89.509215,,,1,,
43.046753,-89.508592,,,3,,
43.047074,-89.508607,,,1,,
43.0754969,-89.3852142,traffic_signals,,3,,
43.051307,-89.514819,,,3,,
43.050985,-89.515367,,,1,,
43.0511791,-89.5174418,,,1,,
43.050645,-89.517085,,,3,,
43.0905391,-89.4358156,,,3,,
43.0905309,-89.3324942,,,2,,
43.0956242,-89.3153524,motorway_junction,,3,,
43.0984066,-89.3160268,,,4,,
43.1029247,-89.3164451,,,3,,
43.032929,-89.367596,,,3,,
43.032905,-89.36689,,,1,,
43.14105,-89.306012,,,1,,
43.141044,-89.305677,,,3,,
43.046718,-89.508222,,,3,,
43.046402,-89.508221,,,1,,
43.046472,-89.307503,traffic_signals,,5,,
43.046567,-89.307158,traffic_signals,,4,,
43.046717,-89.306351,,,3,,
43.0472253,-89.3019119,motorway_junction,266,3,,
43.04673,-89.509523,,,3,,
43.046387,-89.509523,,,1,,
43.0409348,-89.3786821,,,3,,
43.07619,-89.511889,,,3,,
43.07669,-89.511287,,,1,,
43.076541,-89.472348,,,3,,
43.076169,-89.47194,,,3,,
43.029865,-89.286035,,,3,,
43.045285,-89.30654,,,3,,
43.057833,-89.274098,,,1,,
43.053384,-89.51544,,,3,,
43.053782,-89.515422,,,1,,
43.0586258,-89.5027205,traffic_signals,,5,,
43.0504679,-89.5113667,,,3,,
43.050422,-89.511572,,,3,,
43.050547,-89.512314,,,1,,
43.0503267,-89.5112784,,,3,,
43.050254,-89.511544,,,3,,
43.050008,-89.512134,,,1,,
43.039677,-89.2743936,,,3,,
43.068579,-89.526477,,,3,,
43.052652,-89.513494,,,3,,
43.051954,-89.51362,,,3,,
43.050488,-89.514107,,,3,,
43.0491548,-89.521049,,,3,,
43.046697,-89.307236,,,3,,
43.046698,-89.509816,,,3,,
43.04702,-89.509839,,,1,,
43.046693,-89.507955,,,3,,
43.047311,-89.507844,,,1,,
43.045613,-89.38404,,,4,,
43.0453511,-89.3758573,traffic_signals,,5,,
43.0920551,-89.4923182,,,3,,
43.077806,-89.288806,,,3,,
43.0779807,-89.2885053,turning_circle,,1,,
43.0596618,-89.507859,,,3,,
43.0570989,-89.5093152,stop,,3,,
43.083957,-89.507058,,,3,,
43.08382,-89.506842,,,3,,
43.041301,-89.302073,,,3,,
43.0402809,-89.3017243,,,3,,
43.1500954,-89.2800361,,,3,,
