osmid,highway,lanes,oneway,reversed,length,bridge,speed_kph,travel_time,maxspeed,ref,name,junction,access,width,tunnel
"[28773784, 700431612, 28773782]",motorway,"['4', '3']",True,False,408.53816532502674,yes,88.5137,16.61592945691002,55 mph,US 12;US 18,West Beltline Highway,,,,
"[1173223952, 326370881, 1383926209]",motorway_link,"['2', '3']",True,False,292.0297688970265,,88.5137,11.877338401053118,,,,,,,
700431579,motorway,4,True,False,720.2374640264937,,88.5137,29.293260483918054,55 mph,US 12;US 14;US 18;US 151,West Beltline Highway,,,,
1096977507,motorway,5,True,False,223.23875565764686,,88.5137,9.079493009189862,55 mph,US 12;US 14;US 18;US 151,West Beltline Highway,,,,
"[38254192, 1383926213, 52395165]",motorway,4,True,False,1206.7350150237771,yes,88.5137,49.07992835104168,55 mph,US 12;US 14;US 18;US 151,West Beltline Highway,,,,
"[1383926212, 173548956]",motorway_link,1,True,False,461.10880183439224,,88.5137,18.75406503856253,,,,,,,
"[621563397, 1165576246]",motorway_link,"['2', '1']",True,False,378.0220694191525,,88.5137,15.37478887346195,,,,,,,
"[1383837712, 700431564, 901797360, 1383926215]",motorway,"['4', '5']",True,False,601.0029539743716,,88.5137,24.443793834262245,55 mph,US 12;US 14;US 18;US 151,West Beltline Highway,,,,
"[1025031233, 70978193]",motorway,5,True,False,824.5988259606092,,88.5137,33.53781136093276,55 mph,US 12;US 14,West Beltline Highway,,,,
"[1383674626, 1166175900, 6584101]",motorway_link,"['2', '4', '3']",True,False,484.6197929661664,,88.5137,19.710296312075975,,,,,,,
"[38308728, 38308730, 70978181]",motorway,3,True,False,944.9401616431248,yes,88.5137,38.4322944574145,55 mph,US 12;US 14,West Beltline Highway,,,,
"[1175034624, 1383674629, 700703110, 33654976]",motorway,"['2', '3']",True,False,1840.8738395173557,,88.5137,74.8714133773922,55 mph,US 12;US 14,West Beltline Highway,,,,
"[1167080378, 6596663]",motorway_link,"['2', '4']",True,False,275.7658785683173,,88.5137,11.215858820114201,,,,255,,,
"[37551960, 37551961, 700703107]",motorway,2,True,False,741.1324186876506,yes,88.5137,30.143093185298344,55 mph,US 12;US 14,West Beltline Highway,,,,
"[37551960, 1174947577, 1369829871]",motorway,"['2', '3']",True,False,1065.3322983327091,,88.5137,43.328843715693196,55 mph,US 12;US 14,West Beltline Highway,,,,
"[6566099, 1462000758]",motorway_link,"['4', '1']",True,False,388.90234334623693,,88.5137,15.817307784517572,,,,,,,
"[1174947576, 33654971, 37500077]",motorway,2,True,False,770.4837426315704,yes,88.5137,31.336860547843482,55 mph,US 12;US 14,West Beltline Highway,,,,
"[1174936120, 323090202]",motorway,3,True,False,896.6283680053868,,88.5137,36.46737312776884,55 mph,US 12;US 14;CTH M,West Beltline Highway,,,,
"[37849057, 1462000779]",motorway_link,"['1', '3']",True,False,365.69266658951796,,88.5137,14.873331469843253,,,,,,,
"[37778216, 37778215, 1174936119]",motorway,2,True,False,912.1857683554749,yes,88.5137,37.100118581414065,55 mph,US 12;US 14;CTH M,West Beltline Highway,,,,
"[1169866151, 37778215]",motorway,"['2', '3']",True,False,771.8804420305358,,88.5137,31.39366664493665,55 mph,US 12;US 14;CTH M,West Beltline Highway,,,,
"[1370773154, 1370773153, 6618042]",motorway_link,"['2', '1', '3']",True,False,419.11973522641983,,88.5137,17.046299576394517,,,,,,,
